created,id_sensor,type,unit,value
2020-09-08T12:46:05.000Z,TN02_T_0,soil_temperature,°C,24.5
2020-09-08T13:01:05.000Z,TN02_T_0,soil_temperature,°C,24.8
2020-09-08T13:16:05.000Z,TN02_T_0,soil_temperature,°C,25.1
2020-09-08T13:31:05.000Z,TN02_T_0,soil_temperature,°C,25.4
2020-09-08T13:46:05.000Z,TN02_T_0,soil_temperature,°C,25.6
2020-09-08T14:01:05.000Z,TN02_T_0,soil_temperature,°C,25.8
2020-09-08T14:16:05.000Z,TN02_T_0,soil_temperature,°C,26.0
2020-09-08T14:31:05.000Z,TN02_T_0,soil_temperature,°C,26.2
2020-09-08T14:46:05.000Z,TN02_T_0,soil_temperature,°C,26.4
2020-09-08T15:01:05.000Z,TN02_T_0,soil_temperature,°C,26.5
2020-09-08T15:16:05.000Z,TN02_T_0,soil_temperature,°C,26.5
2020-09-08T15:31:05.000Z,TN02_T_0,soil_temperature,°C,26.6
2020-09-08T15:46:05.000Z,TN02_T_0,soil_temperature,°C,26.6
2020-09-08T16:01:05.000Z,TN02_T_0,soil_temperature,°C,26.7
2020-09-08T16:16:05.000Z,TN02_T_0,soil_temperature,°C,26.7
2020-09-08T16:31:05.000Z,TN02_T_0,soil_temperature,°C,26.7
2020-09-08T16:46:05.000Z,TN02_T_0,soil_temperature,°C,26.7
2020-09-08T17:01:05.000Z,TN02_T_0,soil_temperature,°C,26.6
2020-09-08T17:16:05.000Z,TN02_T_0,soil_temperature,°C,26.6
2020-09-08T17:31:05.000Z,TN02_T_0,soil_temperature,°C,26.6
2020-09-08T17:46:05.000Z,TN02_T_0,soil_temperature,°C,26.5
2020-09-08T18:01:05.000Z,TN02_T_0,soil_temperature,°C,26.5
2020-09-08T18:16:05.000Z,TN02_T_0,soil_temperature,°C,26.4
2020-09-08T18:31:05.000Z,TN02_T_0,soil_temperature,°C,26.4
2020-09-08T18:46:05.000Z,TN02_T_0,soil_temperature,°C,26.3
2020-09-08T19:01:05.000Z,TN02_T_0,soil_temperature,°C,26.2
2020-09-08T19:16:05.000Z,TN02_T_0,soil_temperature,°C,26.1
2020-09-08T19:31:05.000Z,TN02_T_0,soil_temperature,°C,26.1
2020-09-08T19:46:05.000Z,TN02_T_0,soil_temperature,°C,26.0
2020-09-08T20:16:05.000Z,TN02_T_0,soil_temperature,°C,25.8
2020-09-08T20:31:05.000Z,TN02_T_0,soil_temperature,°C,25.7
2020-09-08T20:46:05.000Z,TN02_T_0,soil_temperature,°C,25.6
2020-09-08T21:01:05.000Z,TN02_T_0,soil_temperature,°C,25.6
2020-09-08T21:31:05.000Z,TN02_T_0,soil_temperature,°C,25.4
2020-09-08T21:46:05.000Z,TN02_T_0,soil_temperature,°C,25.3
2020-09-08T22:01:05.000Z,TN02_T_0,soil_temperature,°C,25.2
2020-09-08T22:16:05.000Z,TN02_T_0,soil_temperature,°C,25.1
2020-09-08T22:31:05.000Z,TN02_T_0,soil_temperature,°C,25.0
2020-09-08T22:46:05.000Z,TN02_T_0,soil_temperature,°C,24.9
2020-09-08T23:01:05.000Z,TN02_T_0,soil_temperature,°C,24.9
2020-09-08T23:16:05.000Z,TN02_T_0,soil_temperature,°C,24.8
2020-09-08T23:31:05.000Z,TN02_T_0,soil_temperature,°C,24.7
2020-09-08T23:46:05.000Z,TN02_T_0,soil_temperature,°C,24.6
2020-09-09T00:01:05.000Z,TN02_T_0,soil_temperature,°C,24.5
2020-09-09T00:46:05.000Z,TN02_T_0,soil_temperature,°C,24.3
2020-09-09T01:01:05.000Z,TN02_T_0,soil_temperature,°C,24.2
2020-09-09T01:16:05.000Z,TN02_T_0,soil_temperature,°C,24.1
2020-09-09T01:31:05.000Z,TN02_T_0,soil_temperature,°C,24.1
2020-09-09T01:46:05.000Z,TN02_T_0,soil_temperature,°C,24.0
2020-09-09T02:01:05.000Z,TN02_T_0,soil_temperature,°C,23.9
2020-09-09T02:16:05.000Z,TN02_T_0,soil_temperature,°C,23.9
2020-09-09T02:31:05.000Z,TN02_T_0,soil_temperature,°C,23.8
2020-09-09T02:46:05.000Z,TN02_T_0,soil_temperature,°C,23.7
2020-09-09T03:01:05.000Z,TN02_T_0,soil_temperature,°C,23.6
2020-09-09T03:16:05.000Z,TN02_T_0,soil_temperature,°C,23.6
2020-09-09T03:31:05.000Z,TN02_T_0,soil_temperature,°C,23.5
2020-09-09T03:46:05.000Z,TN02_T_0,soil_temperature,°C,23.4
2020-09-09T04:01:05.000Z,TN02_T_0,soil_temperature,°C,23.4
2020-09-09T04:16:05.000Z,TN02_T_0,soil_temperature,°C,23.3
2020-09-09T04:31:05.000Z,TN02_T_0,soil_temperature,°C,23.2
2020-09-09T04:46:05.000Z,TN02_T_0,soil_temperature,°C,23.2
2020-09-09T05:01:05.000Z,TN02_T_0,soil_temperature,°C,23.1
2020-09-09T05:16:05.000Z,TN02_T_0,soil_temperature,°C,23.0
2020-09-09T05:31:05.000Z,TN02_T_0,soil_temperature,°C,23.0
2020-09-09T05:46:05.000Z,TN02_T_0,soil_temperature,°C,22.9
2020-09-09T06:01:05.000Z,TN02_T_0,soil_temperature,°C,22.9
2020-09-09T06:16:05.000Z,TN02_T_0,soil_temperature,°C,22.8
2020-09-09T06:31:05.000Z,TN02_T_0,soil_temperature,°C,22.8
2020-09-09T06:46:05.000Z,TN02_T_0,soil_temperature,°C,22.7
2020-09-09T07:01:05.000Z,TN02_T_0,soil_temperature,°C,22.7
2020-09-09T07:16:05.000Z,TN02_T_0,soil_temperature,°C,22.6
2020-09-09T07:31:05.000Z,TN02_T_0,soil_temperature,°C,22.6
2020-09-09T07:46:05.000Z,TN02_T_0,soil_temperature,°C,22.6
2020-09-09T08:01:05.000Z,TN02_T_0,soil_temperature,°C,22.6
2020-09-09T08:16:05.000Z,TN02_T_0,soil_temperature,°C,22.6
2020-09-09T08:31:05.000Z,TN02_T_0,soil_temperature,°C,22.6
2020-09-09T08:46:05.000Z,TN02_T_0,soil_temperature,°C,22.7
2020-09-09T09:01:05.000Z,TN02_T_0,soil_temperature,°C,22.7
2020-09-09T09:16:05.000Z,TN02_T_0,soil_temperature,°C,22.8
2020-09-09T09:31:05.000Z,TN02_T_0,soil_temperature,°C,22.8
2020-09-09T09:46:12.000Z,TN02_T_0,soil_temperature,°C,22.9
2020-09-09T10:01:06.000Z,TN02_T_0,soil_temperature,°C,23.0
2020-09-09T10:16:05.000Z,TN02_T_0,soil_temperature,°C,23.1
2020-09-09T10:31:05.000Z,TN02_T_0,soil_temperature,°C,23.3
2020-09-09T10:46:05.000Z,TN02_T_0,soil_temperature,°C,23.5
